Array size (MB),Latency (ns)
48.00000,93.984
52.00000,96.244
56.00000,61.899
60.00000,67.315
64.00000,99.756
72.00000,103.595
80.00000,128.999
88.00000,117.385
96.00000,139.958
104.00000,136.900
112.00000,118.902
120.00000,170.469
128.00000,162.439
144.00000,161.474
160.00000,172.926
176.00000,194.873
192.00000,191.062
208.00000,206.242
224.00000,170.513
240.00000,312.285
256.00000,265.312
288.00000,273.546
320.00000,270.099
352.00000,333.854
384.00000,389.818
416.00000,395.369
448.00000,348.464
480.00000,200.581
512.00000,225.423
576.00000,180.431
640.00000,337.845
704.00000,224.627
768.00000,175.679
832.00000,211.413
896.00000,197.134
960.00000,207.024
1024.00000,178.627
