Array size (MB),Latency (ns)
0.00049,1.834
0.00098,1.834
0.00195,1.833
0.00293,1.835
0.00391,1.833
0.00586,1.834
0.00781,1.819
0.01172,1.820
0.01562,1.814
0.02344,1.812
0.03125,1.811
0.04688,4.989
0.06250,7.258
0.09375,7.252
0.12500,7.254
0.18750,7.253
0.25000,7.257
0.37500,7.261
0.50000,7.255
0.75000,8.135
1.00000,8.160
1.50000,12.376
2.00000,21.859
3.00000,36.888
4.00000,40.375
6.00000,44.970
8.00000,47.459
12.00000,49.320
16.00000,49.618
24.00000,49.709
32.00000,49.671
48.00000,49.667
64.00000,49.719
96.00000,148.747
128.00000,243.780
192.00000,260.784
256.00000,260.069
384.00000,271.277
512.00000,274.971
768.00000,277.316
1024.00000,278.131
