message_size_bytes,avg_latency_us,backend_status
2,59.37,qemu_tcp_requested_server_mediation_unverified
4,61.5,qemu_tcp_requested_server_mediation_unverified
8,73.28,qemu_tcp_requested_server_mediation_unverified
16,88.78,qemu_tcp_requested_server_mediation_unverified
32,90.53,qemu_tcp_requested_server_mediation_unverified
64,124.06,qemu_tcp_requested_server_mediation_unverified
128,183.87,qemu_tcp_requested_server_mediation_unverified
256,303.23,qemu_tcp_requested_server_mediation_unverified
512,529.42,qemu_tcp_requested_server_mediation_unverified
1024,1091.26,qemu_tcp_requested_server_mediation_unverified
2048,2187.23,qemu_tcp_requested_server_mediation_unverified
4096,3934.58,qemu_tcp_requested_server_mediation_unverified
8192,60.17,qemu_tcp_requested_server_mediation_unverified
